file_id,file_name,performer,instrument,emotion,emotional_intensity,recording_date
1,1_aggressive_n1_i2_electric-guitar_MatPoz_20200729,MatPoz,electric-guitar,aggressive,2,20200729
2,2_aggressive_n2_i3_electric-guitar_MatPoz_20200729,MatPoz,electric-guitar,aggressive,3,20200729
3,3_aggressive_n3_i3_electric-guitar_MatPoz_20200729,MatPoz,electric-guitar,aggressive,3,20200729
4,4_happy_n1_i2_electric-guitar_MatPoz_20200729,MatPoz,electric-guitar,happy,2,20200729
5,5_happy_n2_i3_electric-guitar_MatPoz_20200729,MatPoz,electric-guitar,happy,3,20200729
6,6_happy_n3_i2_electric-guitar_MatPoz_20200729,MatPoz,electric-guitar,happy,2,20200729
7,7_relaxed_n1_i1_electric-guitar_MatPoz_20200729,MatPoz,electric-guitar,relaxed,1,20200729
8,8_relaxed_n2_i3_electric-guitar_MatPoz_20200729,MatPoz,electric-guitar,relaxed,3,20200729
9,9_relaxed_n3_i2_electric-guitar_MatPoz_20200729,MatPoz,electric-guitar,relaxed,2,20200729
10,10_sad_n1_i2_electric-guitar_MatPoz_20200729,MatPoz,electric-guitar,sad,2,20200729
11,11_sad_n2_i2_electric-guitar_MatPoz_20200729,MatPoz,electric-guitar,sad,2,20200729
12,12_sad_n3_i2_electric-guitar_MatPoz_20200729,MatPoz,electric-guitar,sad,2,20200729
13,13_aggressive_n1_i3_electric-guitar_GioSca_20211119,GioSca,electric-guitar,aggressive,3,20211119
14,14_aggressive_n2_i2_electric-guitar_GioSca_20211119,GioSca,electric-guitar,aggressive,2,20211119
15,15_aggressive_n3_i1_electric-guitar_GioSca_20211119,GioSca,electric-guitar,aggressive,1,20211119
16,16_happy_n1_i2_electric-guitar_GioSca_20211119,GioSca,electric-guitar,happy,2,20211119
17,17_happy_n2_i3_electric-guitar_GioSca_20211119,GioSca,electric-guitar,happy,3,20211119
18,18_happy_n3_i1_electric-guitar_GioSca_20211119,GioSca,electric-guitar,happy,1,20211119
19,19_relaxed_n1_i1_electric-guitar_GioSca_20211119,GioSca,electric-guitar,relaxed,1,20211119
20,20_relaxed_n2_i2_electric-guitar_GioSca_20211119,GioSca,electric-guitar,relaxed,2,20211119
21,21_relaxed_n3_i3_electric-guitar_GioSca_20211119,GioSca,electric-guitar,relaxed,3,20211119
22,22_sad_n1_i2_electric-guitar_GioSca_20211119,GioSca,electric-guitar,sad,2,20211119
23,23_sad_n2_i3_electric-guitar_GioSca_20211119,GioSca,electric-guitar,sad,3,20211119
24,24_sad_n3_i1_electric-guitar_GioSca_20211119,GioSca,electric-guitar,sad,1,20211119
25,25_aggressive_n1_i3_electric-guitar_ThoBor_20211124,ThoBor,electric-guitar,aggressive,3,20211124
26,26_aggressive_n2_i3_electric-guitar_ThoBor_20211124,ThoBor,electric-guitar,aggressive,3,20211124
27,27_aggressive_n3_i1_electric-guitar_ThoBor_20211124,ThoBor,electric-guitar,aggressive,1,20211124
28,28_happy_n1_i3_electric-guitar_ThoBor_20211124,ThoBor,electric-guitar,happy,3,20211124
29,29_happy_n2_i2_electric-guitar_ThoBor_20211124,ThoBor,electric-guitar,happy,2,20211124
30,30_happy_n3_i3_electric-guitar_ThoBor_20211124,ThoBor,electric-guitar,happy,3,20211124
31,31_relaxed_n1_i2_electric-guitar_ThoBor_20211124,ThoBor,electric-guitar,relaxed,2,20211124
32,32_relaxed_n2_i3_electric-guitar_ThoBor_20211124,ThoBor,electric-guitar,relaxed,3,20211124
33,33_relaxed_n3_i3_electric-guitar_ThoBor_20211124,ThoBor,electric-guitar,relaxed,3,20211124
34,34_sad_n1_i3_electric-guitar_ThoBor_20211124,ThoBor,electric-guitar,sad,3,20211124
35,35_sad_n2_i3_electric-guitar_ThoBor_20211124,ThoBor,electric-guitar,sad,3,20211124
36,36_sad_n3_i2_electric-guitar_ThoBor_20211124,ThoBor,electric-guitar,sad,2,20211124
37,37_aggressive_n1_i3_electric-guitar_Tiz_Bol_20211211,TizBol,electric-guitar,aggressive,3,20211211
38,38_aggressive_n2_i2_electric-guitar_Tiz_Bol_20211211,TizBol,electric-guitar,aggressive,2,20211211
39,39_aggressive_n3_i3_electric-guitar_Tiz_Bol_20211211,TizBol,electric-guitar,aggressive,3,20211211
