epoch,train_folds,test_folds,phase,loss,accuracy,precision,recall,f1
1,"[1, 2, 3, 4]",[0],train,1.2999400080752974,"tensor(0.4076, dtype=torch.float64)",0.4080066531762727,0.40756302521008403,0.39133050961885946
1,"[1, 2, 3, 4]",[0],test,1.2634130557378134,"tensor(0.4333, dtype=torch.float64)",0.4107909527860065,0.412751677852349,0.39809534745223246
1,"[0, 2, 3, 4]",[1],train,1.2961649850562766,"tensor(0.4156, dtype=torch.float64)",0.412978135236042,0.4156378600823045,0.40083548203743874
1,"[0, 2, 3, 4]",[1],test,1.219281502203508,"tensor(0.5636, dtype=torch.float64)",0.4463106087958042,0.4429530201342282,0.4287246303233765
1,"[0, 1, 3, 4]",[2],train,1.2685949216454715,"tensor(0.5000, dtype=torch.float64)",0.5248750442455044,0.5,0.48404408878569044
1,"[0, 1, 3, 4]",[2],test,1.304556950446098,"tensor(0.3387, dtype=torch.float64)",0.4969477452698929,0.4664429530201342,0.4553845615370665
1,"[0, 1, 2, 4]",[3],train,1.2751654132467802,"tensor(0.4221, dtype=torch.float64)",0.44215908798711256,0.42213114754098363,0.4083383894348033
1,"[0, 1, 2, 4]",[3],test,1.2967146458449188,"tensor(0.4259, dtype=torch.float64)",0.43529704200845143,0.4228187919463087,0.404580555618775
1,"[0, 1, 2, 3]",[4],train,1.2686758985767117,"tensor(0.4589, dtype=torch.float64)",0.4573839054260681,0.4588744588744589,0.44631796774653915
1,"[0, 1, 2, 3]",[4],test,1.287107547717308,"tensor(0.4478, dtype=torch.float64)",0.4543434369216566,0.4563758389261745,0.44172278336733484
2,"[1, 2, 3, 4]",[0],train,1.2804721403522652,"tensor(0.4328, dtype=torch.float64)",0.4374130332833507,0.4327731092436975,0.418943024584545
2,"[1, 2, 3, 4]",[0],test,1.2439536174138388,"tensor(0.4500, dtype=torch.float64)",0.43202677756133867,0.436241610738255,0.42401037579396716
2,"[0, 2, 3, 4]",[1],train,1.2874300896876143,"tensor(0.3951, dtype=torch.float64)",0.3879179421817626,0.3950617283950617,0.3785187364818921
2,"[0, 2, 3, 4]",[1],test,1.1949551538987593,"tensor(0.5818, dtype=torch.float64)",0.42800125892112184,0.42953020134228187,0.41220292927878593
