epoch,train_folds,test_folds,phase,loss,accuracy,precision,recall,f1
1,"[1, 2, 3, 4]",[0],train,1.2452067146782113,"tensor(0.4412, dtype=torch.float64)",0.4230948429290327,0.4411764705882353,0.40909698528642063
1,"[1, 2, 3, 4]",[0],test,1.2967740539777077,"tensor(0.3559, dtype=torch.float64)",0.40788989414982746,0.42424242424242425,0.39283495008665326
1,"[0, 2, 3, 4]",[1],train,1.2597924500457511,"tensor(0.4174, dtype=torch.float64)",0.38567314106115247,0.41735537190082644,0.3800171308192698
1,"[0, 2, 3, 4]",[1],test,1.195555702122775,"tensor(0.6000, dtype=torch.float64)",0.4274963245169509,0.4511784511784512,0.42087969641651607
1,"[0, 1, 3, 4]",[2],train,1.2514769802702235,"tensor(0.4468, dtype=torch.float64)",0.42452013913990844,0.44680851063829785,0.41091761931935766
1,"[0, 1, 3, 4]",[2],test,1.2413284509412703,"tensor(0.4516, dtype=torch.float64)",0.4219193563600549,0.4478114478114478,0.40981322434085365
1,"[0, 1, 2, 4]",[3],train,1.2468353686509308,"tensor(0.4650, dtype=torch.float64)",0.4542425900653914,0.46502057613168724,0.44665248006859254
1,"[0, 1, 2, 4]",[3],test,1.2308991441020258,"tensor(0.5000, dtype=torch.float64)",0.4627357556260887,0.4713804713804714,0.45319953069320634
1,"[0, 1, 2, 3]",[4],train,1.2354836723078853,"tensor(0.4652, dtype=torch.float64)",0.45039408866995073,0.4652173913043478,0.42925373885264506
1,"[0, 1, 2, 3]",[4],test,1.2540796390220301,"tensor(0.4179, dtype=torch.float64)",0.43670780444162355,0.45454545454545453,0.4191866966302148
2,"[1, 2, 3, 4]",[0],train,1.2214713847937704,"tensor(0.4748, dtype=torch.float64)",0.45575255273734205,0.47478991596638653,0.4317933318794426
2,"[1, 2, 3, 4]",[0],test,1.2816904742838973,"tensor(0.3898, dtype=torch.float64)",0.44429887677429747,0.45791245791245794,0.4201891948074277
2,"[0, 2, 3, 4]",[1],train,1.2422947923013987,"tensor(0.4628, dtype=torch.float64)",0.4431148114349013,0.4628099173553719,0.4299684021843093
2,"[0, 2, 3, 4]",[1],test,1.1772415377876975,"tensor(0.6545, dtype=torch.float64)",0.4880868721639125,0.4983164983164983,0.48094210375006474
2,"[0, 1, 3, 4]",[2],train,1.2372594163772908,"tensor(0.4553, dtype=torch.float64)",0.4425122914910149,0.4553191489361702,0.42879780485574853
2,"[0, 1, 3, 4]",[2],test,1.2275077681387625,"tensor(0.4839, dtype=torch.float64)",0.43990257183404324,0.4612794612794613,0.42936751156742275
2,"[0, 1, 2, 4]",[3],train,1.2274027856779688,"tensor(0.4609, dtype=torch.float64)",0.455252851601246,0.4609053497942387,0.4442292836626209
2,"[0, 1, 2, 4]",[3],test,1.2138097330375954,"tensor(0.5370, dtype=torch.float64)",0.47024628077843156,0.47474747474747475,0.45593507778441383
2,"[0, 1, 2, 3]",[4],train,1.2217977078064628,"tensor(0.4522, dtype=torch.float64)",0.42507992989256194,0.45217391304347826,0.42767124430801823
2,"[0, 1, 2, 3]",[4],test,1.2433456431573897,"tensor(0.4776, dtype=torch.float64)",0.4384705441292843,0.45791245791245794,0.43916919384833825
3,"[1, 2, 3, 4]",[0],train,1.2085013449692927,"tensor(0.5126, dtype=torch.float64)",0.5015470894240048,0.5126050420168067,0.5034157648840214
3,"[1, 2, 3, 4]",[0],test,1.2511944285893843,"tensor(0.3729, dtype=torch.float64)",0.4733650922711811,0.48484848484848486,0.4736323181356294
3,"[0, 2, 3, 4]",[1],train,1.2292299034181706,"tensor(0.4669, dtype=torch.float64)",0.46078878388491096,0.4669421487603306,0.453284379346107
3,"[0, 2, 3, 4]",[1],test,1.1548464753411032,"tensor(0.6182, dtype=torch.float64)",0.49024420024420023,0.494949494949495,0.48659313222044537
3,"[0, 1, 3, 4]",[2],train,1.2126749221314774,"tensor(0.4638, dtype=torch.float64)",0.4652311689334147,0.46382978723404256,0.4524794860935441
3,"[0, 1, 3, 4]",[2],test,1.2169426948793474,"tensor(0.5161, dtype=torch.float64)",0.47149195119296894,0.47474747474747475,0.4622884885102575
